code,name,market
601216,君正集团,.SH
002532,天山铝业,.SZ
600399,抚顺特钢,.SH
002409,雅克科技,.SZ
600352,浙江龙盛,.SH
600489,中金黄金,.SH
000830,鲁西化工,.SZ
002407,多氟多,.SZ
601168,西部矿业,.SH
000630,铜陵有色,.SZ
002240,盛新锂能,.SZ
600486,扬农化工,.SH
002145,中核钛白,.SZ
603650,彤程新材,.SH
002756,永兴材料,.SZ
300699,光威复材,.SZ
600808,马钢股份,.SH
600096,云天化,.SH
600516,方大炭素,.SH
002192,融捷股份,.SZ
300073,当升科技,.SZ
300861,美畅股份,.SZ
600160,巨化股份,.SH
688116,天奈科技,.SH
002497,雅化集团,.SZ
603225,新凤鸣,.SH
688122,西部超导,.SH
601568,北元集团,.SH
000960,锡业股份,.SZ
000831,五矿稀土,.SZ
002078,太阳纸业,.SZ
600141,兴发集团,.SH
001203,大中矿业,.SZ
600801,华新水泥,.SH
900933,华新Ｂ股,.SH
300618,寒锐钴业,.SZ
000683,远兴能源,.SZ
300568,星源材质,.SZ
000709,河钢股份,.SZ
000902,新洋丰,.SZ
603733,仙鹤股份,.SH
600409,三友化工,.SH
000975,银泰黄金,.SZ
002092,中泰化学,.SZ
300748,金力永磁,.SZ
002408,齐翔腾达,.SZ
300750,宁德时代,.SZ
601919,中远海控,.SH
002352,顺丰控股,.SZ
601816,京沪高铁,.SH
300014,亿纬锂能,.SZ
600031,三一重工,.SH
300124,汇川技术,.SZ
300274,阳光电源,.SZ
601668,中国建筑,.SH
600893,航发动力,.SH
601766,中国中车,.SH
000338,潍柴动力,.SZ
600406,国电南瑞,.SH
600760,中航沈飞,.SH
601100,恒立液压,.SH
603195,公牛集团,.SH
601390,中国中铁,.SH
600018,上港集团,.SH
300450,先导智能,.SZ
601186,中国铁建,.SH
601989,中国重工,.SH
601111,中国国航,.SH
600029,南方航空,.SH
601006,大秦铁路,.SH
601800,中国交建,.SH
600009,上海机场,.SH
000768,中航西飞,.SZ
601877,正泰电器,.SH
002074,国轩高科,.SZ
601618,中国中冶,.SH
002050,三花智控,.SZ
002791,坚朗五金,.SZ
600150,中国船舶,.SH
603185,上机数控,.SH
600115,中国东航,.SH
603899,晨光文具,.SH
000157,中联重科,.SZ
601669,中国电建,.SH
300763,锦浪科技,.SZ
601018,宁波港,.SH
000009,中国宝安,.SZ
300751,迈为股份,.SZ
600089,特变电工,.SH
601727,上海电气,.SH
000039,中集集团,.SZ
002202,金风科技,.SZ
300207,欣旺达,.SZ
688009,中国通号,.SH
688819,天能股份,.SH
601021,春秋航空,.SH
000425,徐工机械,.SZ
600862,中航高科,.SH
600885,宏发股份,.SH
002625,光启技术,.SZ
001965,招商公路,.SZ
300012,华测检测,.SZ
688006,杭可科技,.SH
600663,陆家嘴,.SH
600377,宁沪高速,.SH
002120,韵达股份,.SZ
002013,中航机电,.SZ
688567,孚能科技,.SH
600517,国网英大,.SH
601615,明阳智能,.SH
688063,派能科技,.SH
600068,葛洲坝,.SH
600221,*ST海航,.SH
900945,*ST海航B,.SH
601298,青岛港,.SH
600482,中国动力,.SH
300001,特锐德,.SZ
002430,杭氧股份,.SZ
002747,埃斯顿,.SZ
002444,巨星科技,.SZ
002690,美亚光电,.SZ
600499,科达制造,.SH
600875,东方电气,.SH
601880,辽港股份,.SH
688408,中信博,.SH
603025,大豪科技,.SH
601866,中远海发,.SH
603638,艾迪精密,.SH
601598,中国外运,.SH
601872,招商轮船,.SH
603338,浙江鼎力,.SH
600704,物产中大,.SH
600118,XD中国卫,.SH
601156,东航物流,.SH
600372,中航电子,.SH
603568,伟明环保,.SH
600316,洪都航空,.SH
600038,中直股份,.SH
002372,伟星新材,.SZ
000547,航天发展,.SZ
600039,四川路桥,.SH
002176,江特电机,.SZ
002266,浙富控股,.SZ
600233,圆通速递,.SH
600350,山东高速,.SH
688425,铁建重工,.SH
002594,比亚迪,.SZ
601888,中国中免,.SH
000333,美的集团,.SZ
601633,长城汽车,.SH
000651,格力电器,.SZ
600104,上汽集团,.SH
600690,海尔智家,.SH
000625,长安汽车,.SZ
200625,长 安Ｂ,.SZ
601238,广汽集团,.SH
600660,福耀玻璃,.SH
002027,分众传媒,.SZ
603486,科沃斯,.SH
300979,华利集团,.SZ
300413,芒果超媒,.SZ
002607,中公教育,.SZ
603833,欧派家居,.SH
601127,小康股份,.SH
688169,石头科技,.SH
600741,华域汽车,.SH
002920,德赛西威,.SZ
601799,星宇股份,.SH
000069,华侨城Ａ,.SZ
002024,苏宁易购,.SZ
600733,北汽蓝谷,.SH
601966,玲珑轮胎,.SH
000800,一汽解放,.SZ
689009,九号公司-WD,.SH
900934,锦江Ｂ股,.SH
600754,锦江酒店,.SH
002032,苏 泊 尔,.SZ
603816,顾家家居,.SH
600655,豫园股份,.SH
300144,宋城演艺,.SZ
600418,江淮汽车,.SH
002508,老板电器,.SZ
300888,稳健医疗,.SZ
601828,美凯龙,.SH
600699,均胜电子,.SH
000785,居然之家,.SZ
601689,拓普集团,.SH
002739,万达电影,.SZ
601921,N浙版,.SH
600398,海澜之家,.SH
600739,辽宁成大,.SH
600177,雅戈尔,.SH
300251,光线传媒,.SZ
002429,兆驰股份,.SZ
601058,赛轮轮胎,.SH
600637,东方明珠,.SH
605117,德业股份,.SH
002563,森马服饰,.SZ
002127,南极电商,.SZ
600066,宇通客车,.SH
300894,火星人,.SZ
603786,科博达,.SH
600916,中国黄金,.SH
600166,福田汽车,.SH
603877,太平鸟,.SH
600297,广汇汽车,.SH
601777,力帆科技,.SH
600977,中国电影,.SH
600258,首旅酒店,.SH
002867,周大生,.SZ
600859,王府井,.SH
002984,森麒麟,.SZ
300432,富临精工,.SZ
900905,老凤祥Ｂ,.SH
600612,老凤祥,.SH
002906,华阳集团,.SZ
000581,威孚高科,.SZ
200581,苏威孚Ｂ,.SZ
000927,中国铁物,.SZ
603515,欧普照明,.SH
000559,万向钱潮,.SZ
002242,九阳股份,.SZ
002612,朗姿股份,.SZ
002572,索菲亚,.SZ
600060,海信视像,.SH
603529,爱玛科技,.SH
000887,中鼎股份,.SZ
002759,天际股份,.SZ
002705,新宝股份,.SZ
601965,中国汽研,.SH
600006,东风汽车,.SH
603355,莱克电气,.SH
002131,利欧股份,.SZ
601258,庞大集团,.SH
601928,凤凰传媒,.SH
605365,立达信,.SH
603868,飞科电器,.SH
603129,春风动力,.SH
000564,*ST大集,.SZ
300616,尚品宅配,.SZ
601098,中南传媒,.SH
600959,江苏有线,.SH
000921,海信家电,.SZ
603305,旭升股份,.SH
600373,中文传媒,.SH
603596,伯特利,.SH
300760,迈瑞医疗,.SZ
603259,药明康德,.SH
600276,恒瑞医药,.SH
300015,爱尔眼科,.SZ
300122,智飞生物,.SZ
600436,片仔癀,.SH
600196,复星医药,.SH
603392,万泰生物,.SH
300896,爱美客,.SZ
000661,长春高新,.SZ
300759,康龙化成,.SZ
300347,泰格医药,.SZ
000538,云南白药,.SZ
688363,华熙生物,.SH
300142,沃森生物,.SZ
600763,通策医疗,.SH
688185,康希诺-U,.SH
300601,康泰生物,.SZ
002821,凯莱英,.SZ
300595,欧普康视,.SZ
002007,华兰生物,.SZ
002001,新 和 成,.SZ
000963,华东医药,.SZ
603882,金域医学,.SH
300529,健帆生物,.SZ
600161,天坛生物,.SH
688180,君实生物-U,.SH
300003,乐普医疗,.SZ
600085,同仁堂,.SH
002252,上海莱士,.SZ
601607,上海医药,.SH
600332,白云山,.SH
603087,甘李药业,.SH
300363,博腾股份,.SZ
688065,凯赛生物,.SH
603127,昭衍新药,.SH
600079,人福医药,.SH
300676,华大基因,.SZ
688690,纳微科技,.SH
300832,新产业,.SZ
300558,贝达药业,.SZ
300677,英科医疗,.SZ
688029,南微医学,.SH
688276,百克生物,.SH
603456,九洲药业,.SH
603658,安图生物,.SH
002223,鱼跃医疗,.SZ
603707,健友股份,.SH
688366,昊海生科,.SH
300357,我武生物,.SZ
000739,普洛药业,.SZ
000513,丽珠集团,.SZ
688289,圣湘生物,.SH
600521,华海药业,.SH
002044,美年健康,.SZ
000516,国际医学,.SZ
688139,海尔生物,.SH
600299,安迪苏,.SH
002294,信立泰,.SZ
688161,威高骨科,.SH
688050,爱博医疗,.SH
002603,以岭药业,.SZ
688617,惠泰医疗,.SH
300725,药石科技,.SZ
688202,美迪西,.SH
688520,神州细胞-U,.SH
002422,科伦药业,.SZ
002030,达安基因,.SZ
300009,安科生物,.SZ
000403,派林生物,.SZ
002901,大博医疗,.SZ
300482,万孚生物,.SZ
688016,心脉医疗,.SH
000999,华润三九,.SZ
300869,康泰医学,.SZ
600380,健康元,.SH
600867,通化东宝,.SH
603858,步长制药,.SH
600771,广誉远,.SH
600511,国药股份,.SH
002626,金达威,.SZ
688131,皓元医药,.SH
000423,东阿阿胶,.SZ
300294,博雅生物,.SZ
002653,海思科,.SZ
688298,东方生物,.SH
600201,生物股份,.SH
600329,中新药业,.SH
688315,诺禾致源,.SH
002399,海普瑞,.SZ
300463,迈克生物,.SZ
600535,天士力,.SH
300244,迪安诊断,.SZ
600529,山东药玻,.SH
300841,康华生物,.SZ
002382,蓝帆医疗,.SZ
688198,佰仁医疗,.SH
600812,华北制药,.SH
300685,艾德生物,.SZ
300630,普利制药,.SZ
601398,工商银行,.SH
600036,招商银行,.SH
601939,建设银行,.SH
601318,中国平安,.SH
601288,农业银行,.SH
601988,中国银行,.SH
601628,中国人寿,.SH
601658,邮储银行,.SH
601166,兴业银行,.SH
000001,平安银行,.SZ
300059,东方财富,.SZ
601328,交通银行,.SH
600030,中信证券,.SH
600000,浦发银行,.SH
601601,中国太保,.SH
601319,中国人保,.SH
601998,中信银行,.SH
002142,宁波银行,.SZ
601995,中金公司,.SH
601066,中信建投,.SH
600016,民生银行,.SH
601818,光大银行,.SH
600999,招商证券,.SH
601211,国泰君安,.SH
600837,海通证券,.SH
601688,华泰证券,.SH
