,Date,open,high,low,volume,RealPrice,PredictPrice
0,2019-01-02,30.3,30.81,29.02,16648.0,30.4,29.86111127424304
1,2019-01-03,30.15,31.77,29.37,26828.0,30.37,30.811737578119153
2,2019-01-04,30.35,30.89,29.76,16306.0,30.04,30.357132501175638
3,2019-01-07,30.06,30.47,29.76,14693.0,30.08,30.157532011964072
4,2019-01-08,29.85,30.06,29.5,11074.0,29.55,29.786894521996206
5,2019-01-09,29.55,30.35,29.55,10582.0,30.04,30.159849401828104
6,2019-01-10,30.0,30.33,29.6,8574.0,29.91,30.010734711592207
7,2019-01-11,29.9,30.41,29.68,6886.0,30.35,30.16967295331851
8,2019-01-14,30.28,30.65,30.02,5905.0,30.54,30.418667465030783
9,2019-01-15,30.54,31.5,30.46,13882.0,31.1,31.192344054164604
10,2019-01-16,31.15,31.8,30.82,16279.0,31.38,31.390452754432644
11,2019-01-17,31.39,31.88,30.6,10642.0,30.72,31.255756624923396
12,2019-01-18,31.0,31.46,30.52,16643.0,31.21,31.002887413287
13,2019-01-21,31.26,32.32,31.07,15461.0,31.21,31.903715709003105
14,2019-01-22,31.29,31.81,30.9,17632.0,31.23,31.38460360234804
15,2019-01-23,31.24,31.9,31.01,8617.0,31.65,31.591816737661045
16,2019-01-24,31.65,32.48,31.26,13243.0,32.23,32.00283810401545
17,2019-01-25,32.3,32.92,32.08,14517.0,32.38,32.58022122056667
18,2019-01-28,32.38,33.87,32.11,22139.0,33.87,33.252356175770366
19,2019-01-29,33.83,33.83,32.3,12265.0,32.92,32.827697120688065
20,2019-01-30,32.56,33.37,32.56,7683.0,33.01,33.15609402648966
21,2019-01-31,33.08,33.33,32.7,6448.0,33.1,33.01488964334215
22,2019-02-01,32.91,34.42,32.91,10359.0,34.3,34.0232301075281
23,2019-02-11,34.36,36.85,34.36,25382.0,35.22,36.120774243769475
24,2019-02-12,35.7,36.43,34.18,32821.0,34.75,35.122766289899474
25,2019-02-13,34.79,34.9,34.25,27437.0,34.52,34.37842223187975
26,2019-02-14,34.61,35.79,34.5,20907.0,35.6,35.32130920501212
27,2019-02-15,35.58,35.58,34.1,21564.0,34.29,34.53312733848219
28,2019-02-18,34.49,35.28,34.48,19841.0,34.99,34.970935332760654
29,2019-02-19,35.5,35.5,33.9,33359.0,34.36,34.3135023914766
30,2019-02-20,34.7,35.56,34.3,39145.0,34.79,34.88348151898011
31,2019-02-21,34.88,35.07,34.03,24469.0,34.49,34.35611478050744
32,2019-02-22,34.1,34.49,33.71,18319.0,33.97,34.0555473379811
33,2019-02-25,33.96,35.17,33.96,46664.0,35.02,34.6227851288973
34,2019-02-26,35.12,36.0,34.41,37122.0,34.68,35.13560720841311
35,2019-02-27,35.48,36.62,35.2,41877.0,35.57,35.92612171896106
36,2019-02-28,35.96,36.2,34.8,28223.0,35.89,35.24996214274542
37,2019-03-01,35.85,36.47,35.25,18153.0,36.31,35.83246364730401
38,2019-03-04,37.28,37.9,36.4,23074.0,37.43,37.0452286436787
39,2019-03-05,37.2,41.17,36.8,40290.0,40.8,39.73042413319579
40,2019-03-06,40.79,40.79,38.85,35082.0,39.73,39.31915923526414
41,2019-03-07,39.0,39.9,37.66,34496.0,38.2,38.61196495349263
42,2019-03-08,37.9,37.9,36.03,38629.0,36.58,36.488153340646754
43,2019-03-11,37.84,38.4,37.08,44358.0,37.79,37.504055675713154
44,2019-03-12,38.67,38.87,37.17,39838.0,37.75,37.62104612745942
45,2019-03-13,37.9,38.01,36.88,40094.0,37.01,37.083630249869294
46,2019-03-14,36.95,36.95,35.58,29876.0,36.14,35.90565073268822
47,2019-03-15,36.17,36.52,36.0,21025.0,36.4,36.187777870530496
48,2019-03-18,36.42,37.37,36.35,25722.0,37.3,36.92907124918554
49,2019-03-19,37.83,38.28,37.51,26593.0,37.69,37.78008845449236
50,2019-03-20,37.68,37.68,36.86,21321.0,37.37,37.01138659533827
51,2019-03-21,37.41,37.88,36.88,23532.0,37.02,37.269846190643044
52,2019-03-22,37.06,37.17,36.24,23916.0,36.5,36.46875799764015
53,2019-03-25,36.31,36.31,35.7,27514.0,36.2,35.751673828558275
54,2019-03-26,36.01,36.51,35.95,26218.0,36.09,36.182426567818815
55,2019-03-27,36.5,37.11,36.0,33992.0,37.11,36.437342894911424
56,2019-03-28,36.99,38.15,36.21,31464.0,37.68,37.1862496462353
57,2019-03-29,37.68,38.8,37.1,33122.0,38.65,37.94964205229568
58,2019-04-01,38.53,39.85,37.65,74235.0,39.8,38.52438419625415
59,2019-04-02,39.39,39.39,38.68,35259.0,38.86,38.68752276074175
60,2019-04-03,38.75,40.15,38.52,40001.0,39.79,39.39552872965823
61,2019-04-04,39.99,40.1,39.09,25854.0,39.6,39.301853444238105
62,2019-04-08,39.6,40.15,38.86,32496.0,39.29,39.31408957611578
63,2019-04-09,39.29,40.0,38.7,23340.0,39.97,39.274612649727196
64,2019-04-10,39.97,40.32,39.0,26768.0,39.6,39.41816235315082
65,2019-04-11,39.69,40.16,38.57,22186.0,38.97,39.16818969245888
66,2019-04-12,39.0,39.0,37.69,15536.0,38.34,38.04827993014192
67,2019-04-15,38.5,39.38,38.21,23989.0,38.26,38.80458929565227
68,2019-04-16,37.88,38.89,37.31,22051.0,38.18,38.13203895773728
69,2019-04-17,38.78,38.78,37.82,14485.0,38.24,38.05095396939578
70,2019-04-18,38.25,38.31,37.13,22661.0,37.3,37.429219766214196
71,2019-04-19,37.57,37.76,36.5,42661.0,37.27,36.77393966870009
72,2019-04-22,37.6,38.65,37.46,29957.0,37.79,38.10393338823467
73,2019-04-23,37.74,37.74,36.51,23114.0,36.85,36.809828092640515
74,2019-04-24,36.86,37.84,36.7,30365.0,37.47,37.30503413337114
75,2019-04-25,37.99,38.3,37.38,20020.0,37.41,37.69097496511035
76,2019-04-26,37.3,38.14,36.72,25999.0,37.66,37.40034752316591
77,2019-04-29,38.66,38.88,37.7,37176.0,38.08,37.971719314717404
78,2019-04-30,37.84,38.48,37.0,20281.0,37.74,37.653884554981275
79,2019-05-06,36.27,37.69,36.0,33649.0,36.28,36.97394100189814
80,2019-05-07,36.33,37.2,36.01,39237.0,36.18,36.548958764062405
81,2019-05-08,36.17,37.11,35.51,29383.0,36.72,36.293088911538945
82,2019-05-09,36.3,37.07,35.0,32134.0,35.47,35.884246822670306
83,2019-05-10,35.51,36.46,35.1,24213.0,36.21,35.83136707657458
84,2019-05-13,36.15,36.29,35.25,18891.0,35.89,35.57301993609112
85,2019-05-14,35.65,36.61,35.41,15835.0,36.32,36.12896609070865
86,2019-05-15,36.7,38.09,36.1,24793.0,37.54,37.22435876521744
87,2019-05-16,37.88,37.97,37.35,13069.0,37.82,37.502198729184904
88,2019-05-17,37.79,37.88,37.17,20902.0,37.2,37.313639454941146
89,2019-05-20,37.08,38.1,36.37,29595.0,37.94,37.22119489140357
90,2019-05-21,37.99,39.8,37.84,37149.0,39.4,39.02470060936328
91,2019-05-22,39.29,39.79,38.89,30161.0,39.32,39.190768892001756
92,2019-05-23,39.32,39.73,38.67,16776.0,39.01,39.07495083079684
93,2019-05-24,38.72,39.3,38.23,13492.0,38.45,38.7294094974253
94,2019-05-27,38.99,39.1,38.02,27418.0,38.39,38.26276228284581
95,2019-05-28,38.48,38.95,38.2,22477.0,38.69,38.48515753900298
96,2019-05-29,38.4,39.99,36.1,27526.0,39.23,38.001744302486486
97,2019-05-30,38.75,39.8,38.67,24051.0,39.55,39.30979422396468
98,2019-05-31,39.66,40.5,38.19,26484.0,38.8,39.18389005545468
99,2019-06-03,39.9,40.0,38.6,31264.0,39.08,38.9299928898866
100,2019-06-04,38.6,38.79,37.25,19929.0,38.11,37.74952275272473
101,2019-06-05,38.29,38.7,37.33,22311.0,37.83,37.83690547513549
102,2019-06-06,37.24,37.86,36.6,21513.0,37.12,37.16131557863202
103,2019-06-10,36.9,37.71,36.66,24576.0,37.31,37.198296275403735
104,2019-06-11,37.66,39.01,37.42,30175.0,38.79,38.33088275093646
105,2019-06-12,29.62,30.2,29.09,29699.0,29.83,29.62727100059479
106,2019-06-13,29.83,30.17,29.33,22861.0,29.47,29.707918763225788
107,2019-06-14,29.49,29.77,28.88,31188.0,28.88,29.21145815886728
108,2019-06-17,29.97,29.97,28.95,29384.0,29.92,29.230397499920013
109,2019-06-18,29.77,29.77,29.1,22489.0,29.33,29.286161973487896
110,2019-06-19,30.01,31.5,30.0,63528.0,30.65,30.8350044315476
111,2019-06-20,30.76,31.75,30.28,87088.0,31.05,30.770441743378903
112,2019-06-21,31.1,31.28,30.75,71300.0,31.28,30.654505269364137
113,2019-06-24,31.28,31.28,30.5,59238.0,30.75,30.500220322300372
114,2019-06-25,31.0,31.0,30.5,38817.0,30.98,30.51138526135808
115,2019-06-26,30.98,31.02,30.47,41263.0,30.6,30.5022457939816
116,2019-06-27,30.77,31.16,30.69,57498.0,30.94,30.73347042048048
117,2019-06-28,30.95,31.05,30.51,34570.0,30.82,30.59960435885287
118,2019-07-01,31.01,32.52,31.01,58447.0,31.99,31.87283029910073
119,2019-07-02,32.19,32.96,31.6,53914.0,31.95,32.13573742465057
120,2019-07-03,32.19,32.28,31.31,43939.0,31.57,31.493934931271493
121,2019-07-04,31.4,31.87,30.71,40428.0,30.97,31.141465183862937
122,2019-07-05,30.95,31.36,30.62,24291.0,30.99,30.96321117975733
123,2019-07-08,30.95,31.23,30.6,50128.0,31.05,30.703881443012275
124,2019-07-09,31.09,31.35,30.38,32231.0,31.05,30.70887424057259
125,2019-07-10,31.4,32.1,30.88,39666.0,31.92,31.426091557814576
126,2019-07-11,31.99,32.13,31.05,40560.0,31.49,31.317411331382875
127,2019-07-12,31.25,31.8,31.2,28383.0,31.4,31.514566541172645
128,2019-07-15,31.7,31.82,30.5,35170.0,31.73,30.88758454386904
