,Date,open,high,low,volume,RealPrice,PredictPrice
0,2019-01-02,5.74,5.77,5.67,63623.0,5.68,5.720666104985755
1,2019-01-03,5.69,5.77,5.65,80234.0,5.66,5.733871927327377
2,2019-01-04,5.6,5.79,5.58,162021.0,5.78,5.746435619606844
3,2019-01-07,5.81,5.84,5.76,155670.0,5.82,5.796345545413164
4,2019-01-08,5.8,5.81,5.75,102951.0,5.77,5.773707696529707
5,2019-01-09,5.78,5.9,5.77,195101.0,5.79,5.869311418340963
6,2019-01-10,5.79,5.81,5.74,118986.0,5.75,5.770979543479253
7,2019-01-11,5.75,5.78,5.71,111709.0,5.75,5.747436800277791
8,2019-01-14,5.74,5.82,5.74,103066.0,5.77,5.80989767121135
9,2019-01-15,5.75,5.86,5.75,131602.0,5.85,5.8434163817757545
10,2019-01-16,5.85,5.89,5.79,125502.0,5.84,5.840665914801936
11,2019-01-17,5.84,5.85,5.77,104678.0,5.8,5.799412671302858
12,2019-01-18,5.8,5.97,5.8,230639.0,5.93,5.9366271616822175
13,2019-01-21,5.96,6.03,5.91,177007.0,5.95,5.979003968458273
14,2019-01-22,5.97,5.98,5.85,117057.0,5.87,5.892903529604601
15,2019-01-23,5.83,6.01,5.82,163567.0,5.99,5.974288021174172
16,2019-01-24,5.99,6.01,5.9,130432.0,5.94,5.941488719465427
17,2019-01-25,5.95,5.98,5.91,116259.0,5.91,5.946725780420408
18,2019-01-28,5.92,5.99,5.86,118777.0,5.87,5.937271707937322
19,2019-01-29,5.87,5.88,5.65,143127.0,5.76,5.7203088516287925
20,2019-01-30,5.75,5.79,5.7,77071.0,5.71,5.752220167149763
21,2019-01-31,5.72,5.75,5.61,137699.0,5.62,5.665862776644995
22,2019-02-01,5.66,5.76,5.66,112276.0,5.75,5.746591597060493
23,2019-02-11,5.77,5.91,5.76,143726.0,5.9,5.881359335154397
24,2019-02-12,5.9,6.03,5.88,218440.0,6.01,5.988689836460815
25,2019-02-13,6.01,6.13,5.96,297495.0,6.09,6.061580068670874
26,2019-02-14,6.09,6.2,6.07,286693.0,6.16,6.154850118781255
27,2019-02-15,6.14,6.17,6.07,189251.0,6.09,6.108743664615346
28,2019-02-18,6.12,6.24,6.1,243638.0,6.24,6.197386393979379
29,2019-02-19,6.26,6.37,6.18,300513.0,6.29,6.281111323943051
30,2019-02-20,6.32,6.43,6.25,341692.0,6.34,6.344349957539001
31,2019-02-21,6.33,6.36,6.19,308062.0,6.22,6.238474372222156
32,2019-02-22,6.21,6.33,6.19,270270.0,6.33,6.284851112546658
33,2019-02-25,6.39,6.64,6.33,545232.0,6.64,6.524767163296415
34,2019-02-26,6.67,6.92,6.58,636362.0,6.72,6.7750151649599175
35,2019-02-27,6.7,6.77,6.55,471521.0,6.64,6.620955386448866
36,2019-02-28,6.65,6.83,6.63,383906.0,6.75,6.766159385741086
37,2019-03-01,6.78,6.8,6.62,268069.0,6.73,6.668619955360571
38,2019-03-04,6.77,6.95,6.73,575111.0,6.79,6.854669989418767
39,2019-03-05,6.78,6.94,6.75,415871.0,6.93,6.868640303829102
40,2019-03-06,6.94,7.12,6.86,473961.0,7.1,7.0053704039662
41,2019-03-07,7.07,7.11,6.91,528322.0,7.0,6.952135380378439
42,2019-03-08,6.88,6.9,6.51,576445.0,6.54,6.592849910005623
43,2019-03-11,6.57,6.78,6.56,328763.0,6.76,6.724393514015825
44,2019-03-12,6.81,7.02,6.76,514946.0,6.89,6.919096841715264
45,2019-03-13,6.89,6.89,6.67,331199.0,6.71,6.713124677887751
46,2019-03-14,6.72,6.84,6.61,334346.0,6.74,6.724953192387123
47,2019-03-15,6.76,7.04,6.71,684886.0,7.0,6.914770741238421
48,2019-03-18,6.98,7.34,6.95,809263.0,7.33,7.206924893836307
49,2019-03-19,7.44,7.44,7.15,599797.0,7.21,7.1888161680435525
50,2019-03-20,7.15,7.33,7.07,442072.0,7.2,7.217927871120891
51,2019-03-21,7.16,7.22,7.1,384831.0,7.18,7.142729415694442
52,2019-03-22,7.2,7.21,7.06,335449.0,7.17,7.087293654239973
53,2019-03-25,7.06,7.11,6.98,353899.0,6.99,7.022886303770673
54,2019-03-26,7.02,7.05,6.72,378665.0,6.76,6.8084401820517435
55,2019-03-27,6.8,6.97,6.76,346727.0,6.96,6.896502923199424
56,2019-03-28,6.92,6.94,6.73,303450.0,6.74,6.784102241191158
57,2019-03-29,6.75,7.02,6.73,409524.0,7.01,6.942015892629076
58,2019-04-01,7.1,7.65,7.1,1018178.0,7.5,7.494370294998751
59,2019-04-02,7.6,7.85,7.52,1158029.0,7.74,7.663647343277346
60,2019-04-03,7.8,7.86,7.65,792686.0,7.75,7.681657724241153
61,2019-04-04,7.88,8.2,7.88,1007322.0,8.07,8.074035042036654
62,2019-04-08,8.8,8.88,8.67,1395934.0,8.88,8.65727627652223
63,2019-04-09,8.7,8.7,8.12,1076627.0,8.38,8.199803940400713
64,2019-04-10,8.32,8.55,8.14,681313.0,8.3,8.337721375281248
65,2019-04-11,8.22,8.24,7.9,574230.0,7.95,7.966230693887686
66,2019-04-12,7.95,8.03,7.87,284365.0,7.94,7.9439176802770275
67,2019-04-15,8.09,8.12,7.78,439549.0,7.8,7.8643038511536005
68,2019-04-16,7.75,7.97,7.65,341105.0,7.97,7.846850684280152
69,2019-04-17,7.95,8.12,7.93,382100.0,8.03,8.055663796865064
70,2019-04-18,7.99,8.02,7.78,299038.0,7.84,7.84751188600836
71,2019-04-19,7.85,7.88,7.69,296110.0,7.88,7.743184443867126
72,2019-04-22,7.9,7.93,7.6,381266.0,7.63,7.686881330123273
73,2019-04-23,7.58,7.63,7.45,269485.0,7.51,7.514512248297986
74,2019-04-24,7.53,7.68,7.47,262646.0,7.67,7.601498157448838
75,2019-04-25,7.16,7.3,6.9,817440.0,6.9,7.0325685254438355
76,2019-04-26,6.81,6.9,6.77,326795.0,6.83,6.838670207059986
77,2019-04-29,6.78,6.83,6.46,481307.0,6.5,6.5628765127924
78,2019-04-30,6.5,6.62,6.5,211152.0,6.6,6.593820993694376
79,2019-05-06,6.34,6.4,6.04,302224.0,6.13,6.162456934812297
80,2019-05-07,6.17,6.27,6.1,185855.0,6.23,6.19991655741448
81,2019-05-08,6.09,6.28,6.04,160997.0,6.2,6.214671599937398
82,2019-05-09,6.15,6.22,6.1,157534.0,6.12,6.170472724876963
83,2019-05-10,6.17,6.28,6.04,236167.0,6.26,6.16184703180162
84,2019-05-13,6.2,6.21,6.07,208090.0,6.12,6.107314727165341
85,2019-05-14,6.02,6.12,6.02,120789.0,6.06,6.105282655613751
86,2019-05-15,6.1,6.19,6.09,161743.0,6.17,6.165730542877828
87,2019-05-16,6.17,6.28,6.13,190362.0,6.25,6.229330949208835
88,2019-05-17,6.24,6.25,6.0,252228.0,6.02,6.065841619693859
89,2019-05-20,6.02,6.05,5.88,147777.0,6.02,5.943384315862094
90,2019-05-21,6.01,6.11,5.98,131221.0,6.1,6.073238871917496
91,2019-05-22,6.1,6.11,6.0,128340.0,6.03,6.035770352368142
92,2019-05-23,6.02,6.03,5.9,129714.0,5.92,5.941687746309274
93,2019-05-24,5.92,5.95,5.88,77032.0,5.91,5.920305698992446
94,2019-05-27,5.94,6.05,5.89,124672.0,6.03,5.998556879362238
95,2019-05-28,6.02,6.09,6.0,119842.0,6.02,6.065183633651684
96,2019-05-29,6.02,6.08,5.99,199848.0,6.0,6.042232930990414
97,2019-05-30,5.98,6.0,5.81,263864.0,5.89,5.863163337351455
98,2019-05-31,5.9,5.92,5.81,215335.0,5.84,5.843973522153752
99,2019-06-03,5.84,5.88,5.73,152940.0,5.75,5.793010510366802
100,2019-06-04,5.77,5.77,5.68,112131.0,5.7,5.706065513879205
101,2019-06-05,5.78,5.79,5.73,107152.0,5.73,5.7533592438551695
102,2019-06-06,5.74,5.75,5.68,91226.0,5.7,5.70781494717693
103,2019-06-10,5.71,5.81,5.69,101350.0,5.79,5.783421689612616
104,2019-06-11,5.81,5.99,5.8,211978.0,5.99,5.949955781658824
105,2019-06-12,5.78,5.78,5.66,148259.0,5.71,5.691676148132771
106,2019-06-13,5.7,5.73,5.65,110891.0,5.71,5.690546164452244
107,2019-06-14,5.7,5.73,5.62,114592.0,5.63,5.669093863934841
108,2019-06-17,5.62,5.68,5.58,92177.0,5.61,5.645497655974577
109,2019-06-18,5.62,5.62,5.56,66331.0,5.58,5.581537140579331
110,2019-06-19,5.7,5.77,5.59,295880.0,5.62,5.666445977741676
111,2019-06-20,5.62,5.73,5.56,307424.0,5.7,5.655531025093374
112,2019-06-21,5.7,5.79,5.7,303849.0,5.77,5.7605669292081565
113,2019-06-24,5.79,5.83,5.75,255356.0,5.77,5.783134207151069
114,2019-06-25,5.79,5.79,5.64,181416.0,5.69,5.677554500791768
115,2019-06-26,5.66,5.71,5.65,86835.0,5.69,5.698335905935737
116,2019-06-27,5.71,5.76,5.7,133657.0,5.73,5.744041496143773
117,2019-06-28,5.73,5.73,5.62,126963.0,5.66,5.650709996830571
118,2019-07-01,5.75,5.8,5.73,318550.0,5.79,5.760280884769937
119,2019-07-02,5.79,5.83,5.74,215462.0,5.79,5.779689476440863
120,2019-07-03,5.78,5.79,5.72,127201.0,5.75,5.7445130172255165
121,2019-07-04,5.75,5.88,5.75,202254.0,5.78,5.854453329244875
122,2019-07-05,5.78,5.82,5.74,130758.0,5.82,5.784376850686011
123,2019-07-08,5.81,5.81,5.6,239093.0,5.6,5.650089490817837
124,2019-07-09,5.61,5.63,5.55,113224.0,5.6,5.584730075142758
125,2019-07-10,5.6,5.62,5.52,118075.0,5.53,5.560228798826827
126,2019-07-11,5.55,5.6,5.5,100738.0,5.54,5.559090256549246
127,2019-07-12,5.55,5.73,5.52,215596.0,5.66,5.675941882777551
128,2019-07-15,5.66,5.73,5.53,201205.0,5.66,5.620958195268403
129,2019-07-16,5.66,5.71,5.64,125783.0,5.7,5.687786680267305
130,2019-07-17,5.71,5.77,5.68,138036.0,5.73,5.738269419720259
131,2019-07-18,5.71,5.72,5.63,107724.0,5.65,5.662294255127952
132,2019-07-19,5.69,5.72,5.63,106095.0,5.63,5.673953784960081
133,2019-07-22,5.64,5.65,5.46,161184.0,5.5,5.517186297006585
134,2019-07-23,5.48,5.54,5.48,99929.0,5.52,5.53316823282485
135,2019-07-24,5.54,5.6,5.53,129489.0,5.55,5.583374659803573
136,2019-07-25,5.56,5.57,5.53,83767.0,5.56,5.54987679831501
137,2019-07-26,5.56,5.61,5.53,83100.0,5.6,5.58474377630181
138,2019-07-29,5.57,5.6,5.56,72593.0,5.58,5.5923512806857065
139,2019-07-30,5.56,5.63,5.56,92875.0,5.58,5.622385184351897
140,2019-07-31,5.6,5.61,5.55,75972.0,5.58,5.576439805621484
141,2019-08-01,5.55,5.59,5.5,133843.0,5.54,5.547405428657176
142,2019-08-02,5.46,5.5,5.4,131220.0,5.46,5.450737645733723
143,2019-08-05,5.45,5.47,5.41,109253.0,5.45,5.439407918563054
144,2019-08-06,5.36,5.44,5.18,235109.0,5.35,5.291858329191018
145,2019-08-07,5.36,5.39,5.28,55843.0,5.33,5.334899496626957
