,Date,open,high,low,volume,RealPrice,PredictPrice
0,2019-01-02,4.99,5.0,4.92,21769.0,4.93,4.947837367338802
1,2019-01-03,4.96,5.0,4.93,19346.0,4.93,4.969929609331105
2,2019-01-04,4.88,5.03,4.85,33073.0,5.03,4.973772543386943
3,2019-01-07,5.03,5.1,5.0,32536.0,5.1,5.061316195426438
4,2019-01-08,5.09,5.09,5.03,16889.0,5.07,5.048031635089175
5,2019-01-09,5.07,5.17,5.05,29967.0,5.07,5.132411006977614
6,2019-01-10,5.06,5.15,5.06,26072.0,5.08,5.129305964263715
7,2019-01-11,5.1,5.16,5.01,41286.0,5.15,5.07980643778289
8,2019-01-14,5.15,5.16,5.07,28083.0,5.08,5.099960159892546
9,2019-01-15,5.07,5.15,5.07,23151.0,5.14,5.131976050765392
10,2019-01-16,5.2,5.34,5.18,91442.0,5.32,5.2834337506334315
11,2019-01-17,5.32,5.41,5.29,59464.0,5.35,5.362839588392519
12,2019-01-18,5.48,5.67,5.45,153060.0,5.55,5.585473443963732
13,2019-01-21,5.52,5.8,5.5,184673.0,5.75,5.6977772321333084
14,2019-01-22,5.71,6.02,5.65,187952.0,5.67,5.882881167122865
15,2019-01-23,5.72,5.99,5.58,218377.0,5.9,5.799913287038761
16,2019-01-24,5.81,5.94,5.57,191020.0,5.76,5.714441279253655
17,2019-01-25,5.63,5.77,5.55,105597.0,5.65,5.669412971346021
18,2019-01-28,5.64,5.72,5.51,58401.0,5.54,5.605236361215393
19,2019-01-29,5.52,5.7,5.41,82248.0,5.65,5.573515477548239
20,2019-01-30,5.58,5.72,5.51,42857.0,5.56,5.637172398328674
21,2019-01-31,5.52,5.65,5.45,64445.0,5.6,5.565514859924691
22,2019-02-01,5.62,5.66,5.58,49493.0,5.6,5.618744495519006
23,2019-02-11,5.6,5.79,5.57,62028.0,5.77,5.721325342060273
24,2019-02-12,5.77,6.03,5.73,86533.0,6.03,5.935272460358779
25,2019-02-13,6.0,6.16,5.95,91261.0,6.09,6.0792959668250175
26,2019-02-14,6.07,6.08,5.92,76501.0,6.04,5.963776685164646
27,2019-02-15,6.01,6.03,5.87,42985.0,5.88,5.924340695685172
28,2019-02-18,5.94,6.13,5.94,66196.0,6.06,6.0822806279437645
29,2019-02-19,6.05,6.16,5.96,71461.0,6.16,6.065362185867173
30,2019-02-20,6.23,6.33,6.06,71938.0,6.12,6.181361112742759
31,2019-02-21,6.06,6.14,5.96,54083.0,5.98,6.0477784258881275
32,2019-02-22,5.95,6.06,5.9,69527.0,6.03,5.993714422438249
33,2019-02-25,6.1,6.36,6.06,116236.0,6.32,6.260685203412312
34,2019-02-26,6.35,6.48,6.23,107886.0,6.31,6.35413401098782
35,2019-02-27,6.32,6.43,6.23,95675.0,6.29,6.3316241939025
36,2019-02-28,6.3,6.42,6.23,66977.0,6.32,6.338467181933643
37,2019-03-01,6.46,6.62,6.32,129036.0,6.47,6.470125510658255
