,Date,open,high,low,volume,RealPrice,PredictPrice
0,2019-01-02,7.1,7.11,7.02,89749.0,7.02,7.058675525363031
1,2019-01-03,7.06,7.16,7.0,93355.0,7.03,7.1041538219392555
2,2019-01-04,6.95,7.19,6.93,162846.0,7.17,7.1300161436098515
3,2019-01-07,7.21,7.29,7.18,168654.0,7.22,7.256953882865244
4,2019-01-08,7.2,7.22,7.16,129168.0,7.18,7.194913731617366
5,2019-01-09,7.19,7.34,7.19,235017.0,7.23,7.310616779298719
6,2019-01-10,7.21,7.24,7.15,157509.0,7.18,7.195421199875694
7,2019-01-11,7.19,7.2,7.1,147017.0,7.19,7.137254771809793
8,2019-01-14,7.2,7.23,7.15,122639.0,7.18,7.195374200557842
9,2019-01-15,7.17,7.25,7.12,134002.0,7.24,7.203668176877358
10,2019-01-16,7.24,7.31,7.2,110219.0,7.23,7.2750683911272445
11,2019-01-17,7.2,7.28,7.16,120797.0,7.2,7.242227812860015
12,2019-01-18,7.2,7.37,7.18,232400.0,7.36,7.320872754214784
13,2019-01-21,7.37,7.48,7.33,204636.0,7.46,7.4302183641881765
14,2019-01-22,7.45,7.46,7.28,168615.0,7.33,7.333720875363329
15,2019-01-23,7.29,7.43,7.24,126262.0,7.39,7.370857897121146
16,2019-01-24,7.4,7.43,7.29,123389.0,7.34,7.348693700995038
17,2019-01-25,7.33,7.41,7.33,107140.0,7.36,7.40399155034047
18,2019-01-28,7.43,7.56,7.35,201504.0,7.38,7.474974127124962
19,2019-01-29,7.35,7.38,7.23,128997.0,7.32,7.290626870591825
20,2019-01-30,7.33,7.4,7.27,99642.0,7.31,7.350174010335172
21,2019-01-31,7.29,7.34,7.13,162114.0,7.17,7.213183095504509
22,2019-02-01,7.2,7.48,7.2,181833.0,7.46,7.425331958685669
23,2019-02-11,7.48,7.76,7.42,267494.0,7.75,7.653244609190437
24,2019-02-12,7.7,7.85,7.68,241598.0,7.77,7.804345130443298
25,2019-02-13,7.82,8.0,7.8,328627.0,7.93,7.9421699221279605
26,2019-02-14,7.93,8.0,7.85,213118.0,7.91,7.927103195913728
27,2019-02-15,7.9,8.02,7.84,215031.0,7.88,7.951490053180331
28,2019-02-18,7.93,8.18,7.93,290960.0,8.18,8.124547646538034
29,2019-02-19,8.21,8.35,8.03,332483.0,8.13,8.176481619664134
30,2019-02-20,8.2,8.27,8.11,205827.0,8.19,8.189623562669372
31,2019-02-21,8.21,8.24,8.01,294538.0,8.06,8.07759977284835
32,2019-02-22,8.06,8.29,8.05,274305.0,8.27,8.232161227326447
33,2019-02-25,8.31,8.78,8.28,481763.0,8.75,8.64056154380717
34,2019-02-26,8.75,9.1,8.68,517969.0,8.87,8.953401879875592
35,2019-02-27,8.88,8.98,8.61,304411.0,8.74,8.74684872490034
