,Date,open,high,low,volume,RealPrice,PredictPrice
0,2019-01-02,6.53,6.58,6.43,44974.0,6.46,6.502743868073151
1,2019-01-03,6.48,6.53,6.42,39989.0,6.43,6.483688704174712
2,2019-01-04,6.41,6.59,6.38,54261.0,6.57,6.539093471072226
3,2019-01-07,6.58,6.69,6.57,69724.0,6.67,6.667944167143469
4,2019-01-08,6.66,6.67,6.62,44428.0,6.64,6.6463462287717405
5,2019-01-09,6.64,6.74,6.63,72216.0,6.64,6.7196747388079885
6,2019-01-10,6.66,6.68,6.61,43570.0,6.63,6.646602020781933
7,2019-01-11,6.63,6.66,6.6,45856.0,6.66,6.639877813284605
8,2019-01-14,6.7,6.85,6.67,85233.0,6.71,6.803162961982063
9,2019-01-15,6.69,6.72,6.62,67404.0,6.71,6.668524668916903
10,2019-01-16,6.7,6.8,6.68,77724.0,6.75,6.771578856741742
11,2019-01-17,6.75,6.9,6.7,122749.0,6.8,6.83680530677401
12,2019-01-18,6.78,6.93,6.78,110679.0,6.86,6.905086087233025
13,2019-01-21,6.88,6.91,6.81,86137.0,6.85,6.857050182659713
14,2019-01-22,6.83,6.86,6.7,62714.0,6.76,6.761997360544686
15,2019-01-23,6.73,6.78,6.71,37351.0,6.75,6.762883532217478
16,2019-01-24,6.75,6.76,6.67,48582.0,6.75,6.705192344179895
17,2019-01-25,6.73,6.77,6.71,55967.0,6.73,6.7546118245236935
18,2019-01-28,6.77,6.79,6.7,61180.0,6.72,6.74032693749602
19,2019-01-29,6.74,6.77,6.61,92076.0,6.69,6.671884054063967
20,2019-01-30,6.72,6.78,6.7,84034.0,6.74,6.759825602682729
21,2019-01-31,6.75,6.81,6.71,88297.0,6.76,6.7742872602405875
22,2019-02-01,6.78,6.84,6.75,108569.0,6.83,6.811325773865522
23,2019-02-11,6.82,6.94,6.77,152306.0,6.93,6.882151637659327
24,2019-02-12,6.9,6.98,6.88,144051.0,6.96,6.953284295214865
25,2019-02-13,6.95,7.03,6.91,165516.0,7.01,6.987267405723932
26,2019-02-14,7.0,7.03,6.97,109785.0,6.98,7.0064236990491455
27,2019-02-15,6.98,6.98,6.9,116277.0,6.91,6.924575208226539
28,2019-02-18,6.95,7.06,6.93,168576.0,7.05,7.026109721079979
29,2019-02-19,7.07,7.1,6.97,163035.0,7.02,7.021424112511527
30,2019-02-20,7.03,7.1,7.0,155864.0,7.09,7.066781361419798
31,2019-02-21,7.11,7.11,6.96,147337.0,7.05,6.999706683356118
32,2019-02-22,7.01,7.09,6.95,152529.0,7.08,7.031925265910846
33,2019-02-25,7.12,7.43,7.1,430072.0,7.41,7.347124407527825
34,2019-02-26,7.45,7.97,7.36,634417.0,7.69,7.782849773519592
35,2019-02-27,7.63,7.82,7.51,356659.0,7.62,7.684885732820029
36,2019-02-28,7.64,7.7,7.54,191069.0,7.67,7.61122806157945
37,2019-03-01,7.73,7.75,7.62,194637.0,7.68,7.661497401795796
38,2019-03-04,7.72,7.87,7.63,395865.0,7.7,7.764954111819251
39,2019-03-05,7.66,7.75,7.59,245052.0,7.75,7.676514836819958
40,2019-03-06,7.77,7.92,7.73,418990.0,7.88,7.852374350490945
41,2019-03-07,7.87,8.15,7.81,466942.0,8.0,8.037906098733103
42,2019-03-08,7.87,7.88,7.51,373951.0,7.52,7.598047876973698
43,2019-03-11,7.54,7.74,7.54,190224.0,7.74,7.698472640102334
44,2019-03-12,7.76,7.89,7.68,309535.0,7.79,7.798446159950663
45,2019-03-13,7.8,7.81,7.69,190963.0,7.72,7.723302206094088
46,2019-03-14,7.69,7.81,7.58,170413.0,7.68,7.701003238091972
47,2019-03-15,7.65,7.86,7.64,222851.0,7.82,7.807394139699832
48,2019-03-18,7.86,8.07,7.81,367492.0,8.07,7.982577617628285
49,2019-03-19,8.07,8.08,7.92,211764.0,7.98,7.960774794106992
50,2019-03-20,8.1,8.24,7.9,314998.0,8.06,8.052612873940824
51,2019-03-21,8.04,8.1,7.98,221022.0,8.05,8.038880886220962
52,2019-03-22,8.04,8.06,7.91,190663.0,8.0,7.954547096972029
53,2019-03-25,7.88,7.93,7.72,198144.0,7.75,7.796007766581093
54,2019-03-26,7.78,7.83,7.62,156578.0,7.67,7.697456947433942
55,2019-03-27,7.74,7.81,7.62,150124.0,7.8,7.704129271083775
56,2019-03-28,7.79,7.87,7.7,111157.0,7.72,7.78546640094263
57,2019-03-29,7.72,8.07,7.71,317128.0,8.04,7.985266724278921
58,2019-04-01,8.1,8.34,8.08,411936.0,8.3,8.266820108351874
59,2019-04-02,8.35,8.38,8.22,271987.0,8.3,8.268940206361043
60,2019-04-03,8.29,8.48,8.23,286159.0,8.4,8.388475523386537
61,2019-04-04,8.46,8.72,8.43,402825.0,8.56,8.633087382662858
62,2019-04-08,8.95,9.14,8.74,618832.0,8.86,8.92308876531713
63,2019-04-09,8.94,8.95,8.55,330526.0,8.66,8.639989089459268
64,2019-04-10,8.65,8.7,8.42,228679.0,8.57,8.507523335159409
65,2019-04-11,8.57,8.75,8.42,232916.0,8.47,8.591392369862158
66,2019-04-12,8.47,8.57,8.37,136449.0,8.51,8.469189766961666
67,2019-04-15,8.6,8.73,8.39,226706.0,8.4,8.536138298257333
68,2019-04-16,8.38,8.66,8.34,264082.0,8.66,8.564600366982887
69,2019-04-17,8.72,8.72,8.51,298680.0,8.64,8.551535879376988
70,2019-04-18,8.63,8.63,8.47,150931.0,8.51,8.503377222580928
71,2019-04-19,8.48,8.88,8.38,285086.0,8.79,8.712272099575635
72,2019-04-22,8.76,8.76,8.5,192255.0,8.53,8.555374060963976
73,2019-04-23,8.54,8.66,8.36,217937.0,8.37,8.491704745488734
74,2019-04-24,8.35,8.46,8.28,160824.0,8.4,8.380145570165933
75,2019-04-25,8.37,8.38,8.05,207165.0,8.06,8.129310780261369
76,2019-04-26,8.05,8.09,7.88,146365.0,7.93,7.9506282120056815
77,2019-04-29,7.93,7.98,7.66,162366.0,7.74,7.7624559662840475
78,2019-04-30,7.72,7.86,7.7,117910.0,7.8,7.816451031919442
79,2019-05-06,7.6,7.62,7.11,212772.0,7.21,7.241570555915219
80,2019-05-07,7.28,7.35,7.2,118261.0,7.33,7.277968312570471
81,2019-05-08,7.18,7.38,7.14,99468.0,7.23,7.311883983691438
82,2019-05-09,7.22,7.29,7.15,88925.0,7.18,7.226570067511154
83,2019-05-10,7.27,7.38,7.16,127717.0,7.38,7.276413448705289
84,2019-05-13,7.27,7.35,7.24,90935.0,7.28,7.3146761580729045
85,2019-05-14,7.18,7.26,7.16,89778.0,7.17,7.232849685680623
86,2019-05-15,7.21,7.33,7.2,109554.0,7.31,7.3014046756751085
87,2019-05-16,7.3,7.45,7.29,122435.0,7.43,7.414250615052257
88,2019-05-17,7.43,7.43,7.13,108957.0,7.16,7.204124321117319
89,2019-05-20,7.15,7.2,7.07,78113.0,7.19,7.133804434002009
90,2019-05-21,7.19,7.33,7.16,90982.0,7.33,7.282387461099893
91,2019-05-22,7.35,7.38,7.22,69612.0,7.24,7.278903934646793
92,2019-05-23,7.22,7.4,7.15,104244.0,7.26,7.312886194332679
93,2019-05-24,7.23,7.29,7.2,62321.0,7.22,7.259757356294337
94,2019-05-27,7.22,7.35,7.22,78703.0,7.33,7.327518372040907
95,2019-05-28,7.33,7.38,7.26,91303.0,7.28,7.320143209398909
96,2019-05-29,7.26,7.32,7.23,59539.0,7.28,7.289646400590872
97,2019-05-30,7.32,7.37,7.28,111685.0,7.36,7.332683898555896
98,2019-05-31,7.36,7.36,7.24,85958.0,7.26,7.272509683721899
99,2019-06-03,7.19,7.27,7.13,100674.0,7.18,7.212006048723948
100,2019-06-04,7.19,7.21,7.05,81124.0,7.08,7.104050899256025
101,2019-06-05,7.13,7.15,7.06,53069.0,7.08,7.0984589185610725
102,2019-06-06,7.05,7.09,6.94,80901.0,6.96,7.003518754514804
103,2019-06-10,6.96,7.05,6.96,49209.0,7.02,7.038112078989633
104,2019-06-11,7.04,7.22,7.02,97559.0,7.22,7.172242776807946
105,2019-06-12,7.19,7.23,7.13,72670.0,7.16,7.1810946326583025
106,2019-06-13,7.13,7.2,7.07,95518.0,7.18,7.144579061176583
107,2019-06-14,7.18,7.19,7.09,53930.0,7.1,7.125002969275272
108,2019-06-17,7.11,7.17,7.1,46258.0,7.14,7.156056269176085
109,2019-06-18,7.15,7.17,7.1,44669.0,7.13,7.133801726814448
110,2019-06-19,7.23,7.27,7.15,73459.0,7.16,7.205573371188945
111,2019-06-20,7.15,7.33,7.13,126905.0,7.29,7.280996356135528
112,2019-06-21,7.29,7.38,7.29,131684.0,7.38,7.364490920497664
113,2019-06-24,7.38,7.47,7.35,116290.0,7.4,7.431390953622531
114,2019-06-25,7.39,7.39,7.24,93596.0,7.31,7.27926077936287
115,2019-06-26,7.3,7.35,7.27,66179.0,7.28,7.321402254830908
116,2019-06-27,7.32,7.37,7.31,86973.0,7.36,7.356125269031226
117,2019-06-28,7.36,7.37,7.27,62078.0,7.32,7.3038098772317035
118,2019-07-01,7.4,7.49,7.38,125621.0,7.49,7.458718419407339
119,2019-07-02,7.49,7.51,7.45,76917.0,7.48,7.478829134224877
120,2019-07-03,7.45,7.49,7.4,67781.0,7.46,7.447363847039868
121,2019-07-04,7.42,7.5,7.4,105357.0,7.45,7.47115879596173
122,2019-07-05,7.09,7.15,7.09,74937.0,7.12,7.143199664095132
123,2019-07-08,7.11,7.13,6.88,93957.0,6.89,6.955481643478508
